Dropout (1=Yes 0=No),Study Mode,Entry Year,Displaced Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0,1,2019,0,91.11,100,84.62,65.85365854,67.5,61.5,61.5,28.5,24,0,1,3,22,86,1125.36975,28,126,10,3,2,2
1,1,2021,0,0,0,0,45,60,0,0,0,0,0,1,2,13,75,809.5541667,22,59,11,0,1,1
0,1,,0,100,,100,83.33333333,10,10,10,0,0,0,1,1,,,,,1,,3,,0
0,1,2021,1,100,100,100,100,60,60,60,30,30,0,2,2,52,311,3521.4738,87,131,45,3,2,1
0,1,2019,0,91.18,100,78.57,100,51,46.5,51,30,16.5,0,4,4,45,210,3363.1245,81,81,32,3,2,1
0,1,2020,1,90.91,100,84,100,66,60,60,28.5,31.5,0,3,3,22,96,1438.95845,38,131,11,3,2,2
0,1,2022,0,100,100,100,,60,60,60,28.5,31.5,0,1,1,60,395,4699.760733,104,134,31,3,2,1
0,1,2019,1,100,100,100,100,60,60,60,30,30,0,4,4,34,499,3782.908517,66,69,29,3,2,1
0,0,,0,100,100,,100,28.5,28.5,28.5,28.5,0,0,2,2,,,,,,,3,,0
0,1,2020,1,69.77,83.33,52.63,71.42857143,64.5,45,45,30,15,0,2,3,29,163,1957.956417,50,77,21,2,2,2
0,1,2022,1,72.73,33.33,87.5,,66,48,48,6,24,0,1,1,81,738,6349.743183,174,63,45,2,3,2
0,1,2022,0,47.5,50,46.88,,60,28.5,28.5,6,13.5,0,1,2,73,471,4315.14215,124,96,50,1,3,1
0,1,,0,100,,100,60,12,12,12,0,0,0,2,2,,,,,69,,3,,0
0,0,2014,1,22.22,0,40,34.7826087,27,6,6,0,6,0,3,4,27,284,2137.480233,48,15,18,0,2,0
0,1,2020,1,9.09,21.43,0,55,49.5,4.5,4.5,4.5,0,0,2,3,30,224,1863.8047,42,5,17,0,2,1
0,1,2020,1,100,100,100,100,60,60,60,25.5,25.5,0,3,3,47,610,4030.086917,88,136,39,3,2,1
0,1,2020,0,76.32,52.63,100,60,57,43.5,43.5,15,28.5,0,2,3,81,997,8510.464583,309,141,50,2,3,1
0,1,,1,0,,0,0,12,0,0,0,0,0,1,1,,,,,,,0,,0
0,1,2019,1,62.5,40,100,54.54545455,48,30,30,12,18,0,2,4,43,922,3538.472883,77,69,32,2,2,1
0,1,2019,1,54.84,70,27.27,28.57142857,46.5,25.5,25.5,21,4.5,0,2,4,23,160,1910.535417,42,45,20,1,2,1
1,1,,1,16.67,100,0,100,18,3,3,3,0,0,1,2,,,,,,,0,,0
